XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
4.2,351.15829154,351.15829154,77.3,475.0,0.0,1.0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,298.12298928,298.12298928,70.7,394.0,0.0,2.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,281.12766012,281.12766012,82.7,358.0,0.0,3.0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,391.01024,391.01024,112.0,450.0,0.0,2.0,5.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7,431.20697307,431.20697307,119.0,692.0,0.0,2.0,6.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,259.132076794,259.132076794,61.4,380.0,0.0,2.0,3.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2.6,331.04326,331.04326,55.1,316.0,0.0,1.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4,362.00311377,362.00311377,155.0,577.0,0.0,1.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2.9,345.15896025,345.15896025,64.9,430.0,0.0,1.0,5.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,201.9855283,201.9855283,62.4,205.0,0.0,0.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4,283.83291,281.83496,45.3,140.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,494.21787210,494.21787210,158.0,762.0,0.0,4.0,8.0,7.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3.1,307.12084340,307.12084340,38.8,463.0,0.0,0.0,4.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7,329.10454189,329.10454189,113.0,478.0,0.0,0.0,6.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,346.1308869,346.1308869,87.9,401.0,0.0,3.0,6.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.6,360.05800624,360.05800624,91.9,449.0,0.0,0.0,8.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,470.0773272,470.0773272,137.0,615.0,0.0,3.0,8.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4,365.08341252,365.08341252,106.0,527.0,0.0,0.0,7.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.9,370.0275830,370.0275830,51.1,621.0,0.0,1.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
